SAMPLEMONTH,SAMPLEDAY,STARTFL,ENDFL,LENGTHRUN
1,25,64,130,W
1,26,65,131,W
1,27,65,132,W
1,28,66,133,W
1,29,66,133,W
1,30,67,134,W
1,31,67,135,W
2,1,67,136,W
2,2,68,137,W
2,3,68,138,W
2,4,69,139,W
2,5,69,140,W
2,6,70,141,W
2,7,70,142,W
2,8,71,143,W
2,9,71,143,W
2,10,72,144,W
2,11,72,145,W
2,12,72,146,W
2,13,73,147,W
2,14,73,148,W
2,15,74,149,W
2,16,74,150,W
2,17,75,151,W
2,18,75,152,W
2,19,76,153,W
2,20,76,154,W
2,21,77,155,W
2,22,77,156,W
2,23,78,157,W
2,24,78,158,W
2,25,79,159,W
2,26,79,160,W
2,27,80,161,W
2,28,80,163,W
2,29,81,163,W
3,1,81,164,W
3,2,82,165,W
3,3,82,166,W
3,4,83,167,W
3,5,83,168,W
3,6,84,169,W
3,7,84,170,W
3,8,85,171,W
3,9,85,172,W
3,10,86,174,W
3,11,87,175,W
3,12,87,176,W
3,13,88,177,W
3,14,88,178,W
3,15,89,179,W
3,16,89,181,W
3,17,90,182,W
3,18,91,183,W
3,19,91,184,W
3,20,92,185,W
3,21,92,187,W
3,22,93,188,W
3,23,94,189,W
3,24,94,190,W
3,25,95,192,W
3,26,95,193,W
3,27,96,194,W
3,28,97,195,W
3,29,97,197,W
3,30,98,198,W
3,31,99,199,W
4,1,99,201,W
4,2,100,202,W
4,3,101,203,W
4,4,101,205,W
4,5,102,206,W
4,6,103,207,W
4,7,103,209,W
4,8,104,210,W
4,9,105,211,W
4,10,105,213,W
4,11,106,214,W
4,12,107,216,W
4,13,107,217,W
4,14,108,218,W
4,15,109,220,W
4,16,110,221,W
4,17,110,223,W
4,18,111,224,W
4,19,112,226,W
4,20,112,227,W
4,21,113,229,W
4,22,114,230,W
4,23,115,232,W
4,24,115,233,W
4,25,116,235,W
4,26,117,236,W
4,27,118,238,W
4,28,119,239,W
4,29,119,241,W
4,30,120,243,W
5,1,121,244,W
5,2,122,246,W
5,3,123,247,W
5,4,123,249,W
5,5,124,251,W
5,6,125,252,W
5,7,126,254,W
5,8,127,256,W
5,9,127,257,W
5,10,128,259,W
5,11,129,261,W
5,12,130,262,W
5,13,131,264,W
5,14,132,266,W
5,15,133,268,W
5,16,133,269,W
5,17,134,270,W
5,18,135,270,W
5,19,136,270,W
5,20,137,270,W
5,21,138,270,W
5,22,139,270,W
5,23,140,270,W
5,24,141,270,W
5,25,142,270,W
5,26,143,270,W
5,27,143,270,W
5,28,144,270,W
5,29,145,270,W
5,30,146,270,W
5,31,147,270,W
6,1,148,270,W
6,2,149,270,W
6,3,150,270,W
6,4,151,270,W
6,5,152,270,W
6,6,153,270,W
6,7,154,270,W
6,8,155,270,W
6,9,156,270,W
6,10,157,270,W
6,11,158,270,W
6,12,159,270,W
6,13,160,270,W
6,14,161,270,W
6,15,163,270,W
6,16,164,270,W
6,17,165,270,W
6,18,166,270,W
6,19,167,270,W
6,20,168,270,W
